ID,CODE,ANTIGEN ,AGE
1,MOH-001,BCG,Under 1 Year
2,MOH-002,,Above 1 Year
3,MOH-003,OPV (Birth dose),Within 2 Weeks
4,MOH-004,OPV 1,Under 1 Year
5,MOH-005,,Above 1 Year
6,MOH-006,OPV 2,Under 1 Year
7,MOH-007,,Above 1 Year
8,MOH-008,OPV 3,Under 1 Year
9,MOH-009,,Above 1 Year
10,MOH-010,IPV,Under 1 Year
11,MOH-011,,Above 1 Year
12,MOH-012,DPT+HIB+HEPB 1,Under 1 Year
13,MOH-013,,Above 1 Year
14,MOH-014,DPT+HIB+HEPB 2,Under 1 Year
15,MOH-015,,Above 1 Year
16,MOH-016,DPT+HIB+HEPB 3,Under 1 Year
17,MOH-017,,Above 1 Year
18,MOH-018,Pneumococcal 1,Under 1 Year
19,MOH-019,,Above 1 Year
20,MOH-020,Pneumococcal 2,Under 1 Year
21,MOH-021,,Above 1 Year
22,MOH-022,Pneumococcal 3,Under 1 Year
23,MOH-023,,Above 1 Year
24,MOH-024,Rota 1,Under 1 Year
25,MOH-025,Rota 2,Under 1 Year
26,MOH-026,Vitamin A,"At 6 Months (100,000 IU)"
27,MOH-027,Yellow Fever,Under 1 Year
28,MOH-028,,Above 1 Year
29,MOH-029,MR 1,Under 1 Year
30,MOH-030,,Above 1 Year
31,MOH-031,Fully Immunized Child (FIC) at 1 year, 
32,MOH-032,Vitamin A,"At 1 Year (200,000 IU)"
33,MOH-033,,"At 1 ½ Years (200,000 IU)"
34,MOH-034,MR 2,At 1 ½ - 2 Years
35,MOH-035,,Above 2 Years
36,MOH-036,Tetanus Toxoid for Pregnant Women,1st Dose
37,MOH-037,,2nd Dose
38,MOH-038,,3rd Dose
39,MOH-039,,4th Dose
40,MOH-040,,5th Dose
41,MOH-041,Adverse Events Following Immunization, 
42,MOH-042,Vitamin A,"2 Years to 5 Years (200,000 IU)"
43,MOH-043,,"Lactating Mothers (200,000 IU)"
44,MOH-044,Squint / White Eye Reflection (Under 1 Year), 
