id,name,parent_uuid,tag,uuid
2,Changamwe,4da51ea4-d32c-4ac6-822a-ff2bdc1a79cd,Sub County,a9437d37-1e68-44f1-9794-db53752337de
3,Airport,a9437d37-1e68-44f1-9794-db53752337de,Ward,ea01b93e-8469-4279-8867-910fc9f29986
15,Chaani,a9437d37-1e68-44f1-9794-db53752337de,Ward,2d5dbb9f-5c41-4c41-b8ec-f57dc10741d2
29,Changamwe ward,a9437d37-1e68-44f1-9794-db53752337de,Ward,d1a77227-6735-47a5-bf58-38a817e1c42c
39,Kipevu,a9437d37-1e68-44f1-9794-db53752337de,Ward,6f060ca2-9207-47a6-a8c9-ac055ea0cc44
43,Port Reitz,a9437d37-1e68-44f1-9794-db53752337de,Ward,933ec7b3-a94c-4a1b-bc6f-f1436eb5bbe5
49,Jomvu,4da51ea4-d32c-4ac6-822a-ff2bdc1a79cd,Sub County,49197f2f-7bfb-4429-9d4e-dd9f4d187622
50,Jomvu Kuu,49197f2f-7bfb-4429-9d4e-dd9f4d187622,Ward,b70eab36-406d-4ba9-8832-a855667360fd
604,SIDINDI,7ad130e8-2dd3-410f-9fde-475c85051e09,Ward,e510f444-f9a9-450d-bb62-ae19ab4200f1
57,Mikindani,49197f2f-7bfb-4429-9d4e-dd9f4d187622,Ward,c11bbc0b-dc25-4b07-b496-9806ab7b2ce6
70,Miritini,49197f2f-7bfb-4429-9d4e-dd9f4d187622,Ward,83142b4b-8c07-45e0-b76d-df31326659f8
82,Kisauni,4da51ea4-d32c-4ac6-822a-ff2bdc1a79cd,Sub County,fdf64f57-497f-40fc-8767-ab9dacaf2440
83,Bamburi,fdf64f57-497f-40fc-8767-ab9dacaf2440,Ward,ee26326e-83b7-4317-a5c2-54d7d72ab183
91,Junda,fdf64f57-497f-40fc-8767-ab9dacaf2440,Ward,23c1df56-d600-46b2-8262-bb937be34488
99,Magogoni,fdf64f57-497f-40fc-8767-ab9dacaf2440,Ward,00adddd4-429a-4290-96c4-1cece6ab8963
106,Mjambere,fdf64f57-497f-40fc-8767-ab9dacaf2440,Ward,1c2f879f-02ba-4040-87a3-011ba717357b
114,Mtopanga,fdf64f57-497f-40fc-8767-ab9dacaf2440,Ward,95fa770a-5994-425f-95b9-3ee64ed5057e
126,Mwakirunge,fdf64f57-497f-40fc-8767-ab9dacaf2440,Ward,bf79f195-ef69-4273-8de6-2274567b951d
130,Shanzu,fdf64f57-497f-40fc-8767-ab9dacaf2440,Ward,c762c2c8-7c8c-47ac-9668-3734d2a2740a
152,Likoni,4da51ea4-d32c-4ac6-822a-ff2bdc1a79cd,Sub County,2be4f966-d533-4469-9e31-879782320caf
153,Bofu,2be4f966-d533-4469-9e31-879782320caf,Ward,92ad7e80-6e13-4ea5-a29b-8d525a0660b5
160,Likoni ward,2be4f966-d533-4469-9e31-879782320caf,Ward,add09ee8-7aba-4d13-8474-fda7d985d8e2
163,Mtongwe,2be4f966-d533-4469-9e31-879782320caf,Ward,08423984-4a23-4c4f-ab31-6a1eea79f226
171,Shika Adabu,2be4f966-d533-4469-9e31-879782320caf,Ward,ac62528f-ca51-4d29-b0f8-beaf1219d2d8
177,Timbwani,2be4f966-d533-4469-9e31-879782320caf,Ward,aa15f413-fac8-4d3c-ac97-4bd1ff45f67a
208,Mvita,4da51ea4-d32c-4ac6-822a-ff2bdc1a79cd,Sub County,141d1ecb-0761-4a2e-94a5-f83f7c518703
209,Majengo,141d1ecb-0761-4a2e-94a5-f83f7c518703,Ward,1b805618-7979-44a0-bc58-a0998776b122
661,Idakho Central,f387c782-9c45-4e28-ae5b-93a668f33678,Ward,86e335f4-da41-419d-b4ce-ddfb598400b0
227,Mji Wa Kale/Makadara,141d1ecb-0761-4a2e-94a5-f83f7c518703,Ward,58f46283-6011-4bf1-b7c4-95e96cc10d5d
247,Shimanzi/Ganjoni,141d1ecb-0761-4a2e-94a5-f83f7c518703,Ward,5422a390-5675-453d-a3b9-e6e9932f6abb
273,Tononoka,141d1ecb-0761-4a2e-94a5-f83f7c518703,Ward,d0f03211-93ce-4d51-8cbf-fca5f3146fdd
292,Tudor,141d1ecb-0761-4a2e-94a5-f83f7c518703,Ward,78ff76b9-c815-44e0-ad1c-a49eac4d0726
301,Nyali,4da51ea4-d32c-4ac6-822a-ff2bdc1a79cd,Sub County,e9e298fb-581a-498d-80cf-b9ca9d5a5cf6
302,Frere Town,e9e298fb-581a-498d-80cf-b9ca9d5a5cf6,Ward,71e8b976-7cde-44a6-b36c-d6c9d674bbb5
313,Kadzandani,e9e298fb-581a-498d-80cf-b9ca9d5a5cf6,Ward,ee029067-8aac-4209-b5ce-a0f8043e6e3d
327,Kongowea,e9e298fb-581a-498d-80cf-b9ca9d5a5cf6,Ward,a7f29c51-c608-4ca7-8e25-cce9c8058a0e
337,Mkomani,e9e298fb-581a-498d-80cf-b9ca9d5a5cf6,Ward,3cead8d7-eadf-4264-b68a-4797a9378453
343,Ziwa La Ng'ombe,e9e298fb-581a-498d-80cf-b9ca9d5a5cf6,Ward,88f7e0c8-8a0b-4a42-83f4-3c461fe5727f
357,ALEGO USONGA,b39b89b4-45e1-404c-8030-e2a401fe7f0d,Sub County,3f024dfe-686f-4f0d-97c6-e3220330322e
358,CENTRAL ALEGO,3f024dfe-686f-4f0d-97c6-e3220330322e,Ward,79a7cc4d-62d8-44ae-ab5f-41706223638c
367,NORTH ALEGO,3f024dfe-686f-4f0d-97c6-e3220330322e,Ward,8830fa79-f4a4-4ff0-846f-4966f14ea4e1
374,SIAYA TOWNSHIP,3f024dfe-686f-4f0d-97c6-e3220330322e,Ward,c1fbc799-dc04-45b6-bd66-7c68f1786460
356,SIAYA,,County,b39b89b4-45e1-404c-8030-e2a401fe7f0d
393,SOUTH EAST ALEGO,3f024dfe-686f-4f0d-97c6-e3220330322e,Ward,3f0f0449-3ae2-4759-b3c3-eabcbd526ba0
406,USONGA,3f024dfe-686f-4f0d-97c6-e3220330322e,Ward,56f4fee9-16b6-4717-a242-dd194b0f2ef2
413,WEST ALEGO,3f024dfe-686f-4f0d-97c6-e3220330322e,Ward,fc170536-3880-4275-859c-4d29c5dacd07
419,BONDO,b39b89b4-45e1-404c-8030-e2a401fe7f0d,Sub County,64c44de4-6863-4b66-be56-16c45cdc967e
420,CENTRAL SAKWA,64c44de4-6863-4b66-be56-16c45cdc967e,Ward,b67acd32-caae-4f9a-a168-bce6f08c15f2
429,NORTH SAKWA,64c44de4-6863-4b66-be56-16c45cdc967e,Ward,e1fe41e6-afd2-49ab-9de8-23d4c5643da5
443,SOUTH SAKWA,64c44de4-6863-4b66-be56-16c45cdc967e,Ward,45110d11-9381-4da8-bfe6-8c1a8d71a4d5
451,WEST SAKWA,64c44de4-6863-4b66-be56-16c45cdc967e,Ward,fd074835-1ae6-4699-b6bc-4dd0689de143
462,WEST YIMBO,64c44de4-6863-4b66-be56-16c45cdc967e,Ward,72ff5307-84a9-4be0-8206-9e9e2b31a40c
469,YIMBO EAST,64c44de4-6863-4b66-be56-16c45cdc967e,Ward,bdbbfcc3-2d67-4e2e-b417-4c16306237b9
477,GEM,b39b89b4-45e1-404c-8030-e2a401fe7f0d,Sub County,ccc73824-e545-4563-b05a-bd08eba22cf8
478,CENTRAL GEM,ccc73824-e545-4563-b05a-bd08eba22cf8,Ward,438c46da-4175-4758-95e7-608ee100bb3f
483,EAST GEM,ccc73824-e545-4563-b05a-bd08eba22cf8,Ward,178a95f1-6642-4a80-b7f4-bc1b4b8eb96e
500,NORTH GEM,ccc73824-e545-4563-b05a-bd08eba22cf8,Ward,75ad55c8-0dd6-4a48-a76e-094bfd73ef79
511,SOUTH GEM,ccc73824-e545-4563-b05a-bd08eba22cf8,Ward,6702b573-2d1a-4c25-b19e-4d889786d399
522,WEST GEM,ccc73824-e545-4563-b05a-bd08eba22cf8,Ward,402cfe60-9ee9-48a5-b48a-1919f36f783e
532,YALA TOWNSHIP,ccc73824-e545-4563-b05a-bd08eba22cf8,Ward,770b0365-4223-40df-8672-b126b48bac3f
537,RARIEDA,b39b89b4-45e1-404c-8030-e2a401fe7f0d,Sub County,610caa4c-356a-4437-a077-833978a6ffb7
538,EAST ASEMBO,610caa4c-356a-4437-a077-833978a6ffb7,Ward,ed3a9b16-39b8-4b9a-96c6-1ceefe808bb8
546,NORTH UYOMA,610caa4c-356a-4437-a077-833978a6ffb7,Ward,f8c76737-ae21-4761-85e5-7635819cee4c
1552,Runyenjes,a888a0eb-2d1e-496f-962b-d81e205471e2,Sub County,1343c0ae-8b8f-4b6d-9065-e5a0f95aa5b1
553,SOUTH UYOMA,610caa4c-356a-4437-a077-833978a6ffb7,Ward,9f6387a0-db48-4208-97a8-2c075a23761a
557,WEST ASEMBO,610caa4c-356a-4437-a077-833978a6ffb7,Ward,6c33610c-1065-4958-803a-5512680e803f
568,WEST UYOMA,610caa4c-356a-4437-a077-833978a6ffb7,Ward,00220de4-1137-42ed-8589-105d94015db7
578,UGENYA,b39b89b4-45e1-404c-8030-e2a401fe7f0d,Sub County,f7b77015-281d-47fa-86dc-f33def1550e8
579,EAST UGENYA,f7b77015-281d-47fa-86dc-f33def1550e8,Ward,2d2bf21b-1e97-408b-b1f5-326480d10f94
587,NORTH UGENYA,f7b77015-281d-47fa-86dc-f33def1550e8,Ward,4a77e0f9-0e91-4a20-ac35-768f8c028fff
594,UKWALA,f7b77015-281d-47fa-86dc-f33def1550e8,Ward,e27e7ad5-41f1-45a9-9b8b-d9812027ef83
598,WEST UGENYA,f7b77015-281d-47fa-86dc-f33def1550e8,Ward,72a5c02c-22ce-4dfe-b135-8c0d37bf365f
603,UGUNJA,b39b89b4-45e1-404c-8030-e2a401fe7f0d,Sub County,7ad130e8-2dd3-410f-9fde-475c85051e09
610,SIGOMERE,7ad130e8-2dd3-410f-9fde-475c85051e09,Ward,402e068c-858e-472c-b981-c56a33105db7
616,UGUNJA ward,7ad130e8-2dd3-410f-9fde-475c85051e09,Ward,03df4259-6ddb-46cc-9ef2-8174494ee470
627,Butere,c92f86a2-8b5a-4f8e-a5f6-5abb0c584030,Sub County,25b0050e-a1c7-4935-badf-3a1b3f36b916
628,Marama Central,25b0050e-a1c7-4935-badf-3a1b3f36b916,Ward,7aa1651a-535a-49b2-9f2b-e70cbbe1a132
636,Marama North,25b0050e-a1c7-4935-badf-3a1b3f36b916,Ward,12a46b51-5004-49d7-81df-8978f9bea591
